INCIDENT_ID;DATE;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_13;X_14;X_15;MULTIPLE_OFFENSE
CR_189499;10/2/2017;0;36;34;2;1;1;0;1;5;1;174;103;93;43;1
CR_186311;22/11/2017;0;9;10;7;3;2;7;2;5;1;174;10;80;0;1
CR_189730;7/10/2017;5;36;34;2;1;18;13;1;5;1;127;103;87;43;1
CR_189713;4/3/2017;5;36;34;2;1;13;18;1;5;1;174;92;29;43;1
CR_196035;29/11/2018;0;33;32;2;1;7;1;0;5;1;174;111;93;43;1
CR_188845;29/3/2017;0;33;32;2;1;6;4;1;6;1;174;112;29;43;1
CR_196212;21/2/2018;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_185605;20/1/2017;0;4;4;6;5;2;7;0;5;1;174;18;133;46;1
CR_185601;16/2/2017;0;4;4;6;5;2;7;0;5;1;174;103;93;43;1
CR_192513;18/8/2018;0;4;4;6;5;3;5;1;4;1;174;18;133;46;1
CR_188410;10/7/2017;0;27;26;1;3;6;4;2;2;1;290;42;130;0;1
CR_189686;15/11/2017;7;36;34;2;1;9;8;1;5;1;174;92;93;43;1
CR_196508;7/5/2018;3;36;34;2;1;9;8;1;5;1;174;92;62;43;1
CR_196264;3/4/2018;0;36;34;2;1;1;0;1;5;1;174;92;87;43;1
CR_196312;29/6/2018;0;36;34;2;1;1;0;1;6;1;303;92;29;43;1
CR_189404;20/12/2017;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_196445;12/9/2018;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_188574;5/4/2017;0;30;35;7;3;8;3;0;5;1;174;24;93;0;1
CR_189076;15/6/2017;0;33;32;2;1;6;4;0;5;1;174;98;93;43;1
CR_195754;6/5/2018;0;33;32;2;1;7;1;0;5;1;174;18;53;43;1
CR_188489;6/12/2017;0;29;29;9;0;3;5;0;5;1;174;112;29;0;1
CR_189676;5/2/2017;0;36;34;2;1;8;3;1;5;1;174;92;93;43;1
